price,units
1.003392438623944116e+01,1.200000000000000000e+01
1.024274468452103903e+01,1.300000000000000000e+01
1.077226835108337788e+01,1.000000000000000000e+01
1.128221528828487941e+01,4.000000000000000000e+00
1.138095258548137068e+01,7.000000000000000000e+00
1.161222084758071027e+01,4.000000000000000000e+00
1.162105435011118715e+01,9.000000000000000000e+00
1.215149692501729106e+01,1.000000000000000000e+00
1.225468252941445613e+01,7.000000000000000000e+00
1.227184461447713559e+01,4.000000000000000000e+00
1.241613637482123700e+01,3.000000000000000000e+00
1.263267921410005812e+01,1.000000000000000000e+00
1.276649495907887122e+01,3.000000000000000000e+00
1.300989349730135380e+01,5.000000000000000000e+00
1.309545950513188295e+01,3.000000000000000000e+00
1.310525307306580522e+01,5.000000000000000000e+00
1.419867088715148995e+01,5.000000000000000000e+00
1.489718161667181207e+01,4.000000000000000000e+00
1.500275248759723290e+01,1.000000000000000000e+00
1.544339346223931742e+01,0.000000000000000000e+00
1.561775909132680695e+01,3.000000000000000000e+00
1.649759394062553142e+01,0.000000000000000000e+00
1.720132342635521283e+01,2.000000000000000000e+00
1.779088442865370467e+01,2.000000000000000000e+00
1.793961365190140356e+01,1.000000000000000000e+00
1.804534891327341484e+01,2.000000000000000000e+00
1.804612568865400135e+01,1.000000000000000000e+00
1.916350107565205718e+01,3.000000000000000000e+00
1.934608110426486505e+01,2.000000000000000000e+00
1.951564092273631701e+01,0.000000000000000000e+00
2.029756586900690607e+01,0.000000000000000000e+00
2.045867014630355385e+01,0.000000000000000000e+00
2.056299999908168274e+01,0.000000000000000000e+00
2.075571248445616490e+01,1.000000000000000000e+00
2.107373050532501679e+01,2.000000000000000000e+00
2.113020041046791420e+01,3.000000000000000000e+00
2.124035349914960591e+01,1.000000000000000000e+00
2.134720817558327255e+01,0.000000000000000000e+00
2.135942444022373365e+01,0.000000000000000000e+00
2.136103531431309577e+01,2.000000000000000000e+00
